# #(c) Patrick Heenan 
# #Extension (nm),	Extension (pN),	Count (N)
# 
2.5695384407e+00,-1.4837149210e+01,0.0000000000e+00
2.7671952438e+00,-1.4837149210e+01,0.0000000000e+00
2.9648520470e+00,-1.4837149210e+01,0.0000000000e+00
3.1625088501e+00,-1.4837149210e+01,0.0000000000e+00
3.3601656532e+00,-1.4837149210e+01,0.0000000000e+00
3.5578224564e+00,-1.4837149210e+01,0.0000000000e+00
3.7554792595e+00,-1.4837149210e+01,0.0000000000e+00
3.9531360626e+00,-1.4837149210e+01,0.0000000000e+00
4.1507928658e+00,-1.4837149210e+01,0.0000000000e+00
4.3484496689e+00,-1.4837149210e+01,0.0000000000e+00
4.5461064720e+00,-1.4837149210e+01,0.0000000000e+00
4.7437632751e+00,-1.4837149210e+01,0.0000000000e+00
4.9414200783e+00,-1.4837149210e+01,0.0000000000e+00
5.1390768814e+00,-1.4837149210e+01,0.0000000000e+00
5.3367336845e+00,-1.4837149210e+01,0.0000000000e+00
5.5343904877e+00,-1.4837149210e+01,0.0000000000e+00
5.7320472908e+00,-1.4837149210e+01,0.0000000000e+00
5.9297040939e+00,-1.4837149210e+01,0.0000000000e+00
6.1273608971e+00,-1.4837149210e+01,0.0000000000e+00
6.3250177002e+00,-1.4837149210e+01,0.0000000000e+00
6.5226745033e+00,-1.4837149210e+01,0.0000000000e+00
6.7203313065e+00,-1.4837149210e+01,0.0000000000e+00
6.9179881096e+00,-1.4837149210e+01,0.0000000000e+00
7.1156449127e+00,-1.4837149210e+01,0.0000000000e+00
7.3133017159e+00,-1.4837149210e+01,0.0000000000e+00
7.5109585190e+00,-1.4837149210e+01,0.0000000000e+00
7.7086153221e+00,-1.4837149210e+01,0.0000000000e+00
7.9062721252e+00,-1.4837149210e+01,0.0000000000e+00
8.1039289284e+00,-1.4837149210e+01,0.0000000000e+00
8.3015857315e+00,-1.4837149210e+01,0.0000000000e+00
8.4992425346e+00,-1.4837149210e+01,0.0000000000e+00
8.6968993378e+00,-1.4837149210e+01,0.0000000000e+00
8.8945561409e+00,-1.4837149210e+01,0.0000000000e+00
9.0922129440e+00,-1.4837149210e+01,0.0000000000e+00
9.2898697472e+00,-1.4837149210e+01,0.0000000000e+00
9.4875265503e+00,-1.4837149210e+01,0.0000000000e+00
9.6851833534e+00,-1.4837149210e+01,0.0000000000e+00
9.8828401566e+00,-1.4837149210e+01,0.0000000000e+00
1.0080496960e+01,-1.4837149210e+01,0.0000000000e+00
1.0278153763e+01,-1.4837149210e+01,0.0000000000e+00
1.0475810566e+01,-1.4837149210e+01,0.0000000000e+00
1.0673467369e+01,-1.4837149210e+01,0.0000000000e+00
1.0871124172e+01,-1.4837149210e+01,0.0000000000e+00
1.1068780975e+01,-1.4837149210e+01,0.0000000000e+00
1.1266437778e+01,-1.4837149210e+01,0.0000000000e+00
1.1464094582e+01,-1.4837149210e+01,0.0000000000e+00
1.1661751385e+01,-1.4837149210e+01,0.0000000000e+00
1.1859408188e+01,-1.4837149210e+01,0.0000000000e+00
1.2057064991e+01,-1.4837149210e+01,0.0000000000e+00
1.2254721794e+01,-1.4837149210e+01,0.0000000000e+00
1.2452378597e+01,-1.4837149210e+01,0.0000000000e+00
1.2650035400e+01,-1.4837149210e+01,0.0000000000e+00
1.2847692204e+01,-1.4837149210e+01,0.0000000000e+00
1.3045349007e+01,-1.4837149210e+01,0.0000000000e+00
1.3243005810e+01,-1.4837149210e+01,0.0000000000e+00
1.3440662613e+01,-1.4837149210e+01,0.0000000000e+00
1.3638319416e+01,-1.4837149210e+01,0.0000000000e+00
1.3835976219e+01,-1.4837149210e+01,0.0000000000e+00
1.4033633022e+01,-1.4837149210e+01,0.0000000000e+00
1.4231289825e+01,-1.4837149210e+01,0.0000000000e+00
1.4428946629e+01,-1.4837149210e+01,0.0000000000e+00
1.4626603432e+01,-1.4837149210e+01,0.0000000000e+00
1.4824260235e+01,-1.4837149210e+01,0.0000000000e+00
1.5021917038e+01,-1.4837149210e+01,0.0000000000e+00
1.5219573841e+01,-1.4837149210e+01,0.0000000000e+00
1.5417230644e+01,-1.4837149210e+01,0.0000000000e+00
1.5614887447e+01,-1.4837149210e+01,0.0000000000e+00
1.5812544250e+01,-1.4837149210e+01,0.0000000000e+00
1.6010201054e+01,-1.4837149210e+01,0.0000000000e+00
1.6207857857e+01,-1.4837149210e+01,0.0000000000e+00
1.6405514660e+01,-1.4837149210e+01,0.0000000000e+00
1.6603171463e+01,-1.4837149210e+01,0.0000000000e+00
1.6800828266e+01,-1.4837149210e+01,0.0000000000e+00
1.6998485069e+01,-1.4837149210e+01,0.0000000000e+00
1.7196141872e+01,-1.4837149210e+01,0.0000000000e+00
1.7393798676e+01,-1.4837149210e+01,0.0000000000e+00
1.7591455479e+01,-1.4837149210e+01,0.0000000000e+00
1.7789112282e+01,-1.4837149210e+01,0.0000000000e+00
1.7986769085e+01,-1.4837149210e+01,0.0000000000e+00
1.8184425888e+01,-1.4837149210e+01,0.0000000000e+00
1.8382082691e+01,-1.4837149210e+01,0.0000000000e+00
1.8579739494e+01,-1.4837149210e+01,0.0000000000e+00
1.8777396297e+01,-1.4837149210e+01,0.0000000000e+00
1.8975053101e+01,-1.4837149210e+01,0.0000000000e+00
1.9172709904e+01,-1.4837149210e+01,0.0000000000e+00
1.9370366707e+01,-1.4837149210e+01,0.0000000000e+00
1.9568023510e+01,-1.4837149210e+01,0.0000000000e+00
1.9765680313e+01,-1.4837149210e+01,0.0000000000e+00
1.9963337116e+01,-1.4837149210e+01,0.0000000000e+00
2.0160993919e+01,-1.4837149210e+01,0.0000000000e+00
2.0358650723e+01,-1.4837149210e+01,0.0000000000e+00
2.0556307526e+01,-1.4837149210e+01,0.0000000000e+00
2.0753964329e+01,-1.4837149210e+01,0.0000000000e+00
2.0951621132e+01,-1.4837149210e+01,0.0000000000e+00
2.1149277935e+01,-1.4837149210e+01,0.0000000000e+00
2.1346934738e+01,-1.4837149210e+01,0.0000000000e+00
2.1544591541e+01,-1.4837149210e+01,0.0000000000e+00
2.1742248344e+01,-1.4837149210e+01,0.0000000000e+00
2.1939905148e+01,-1.4837149210e+01,0.0000000000e+00
2.2137561951e+01,-1.4837149210e+01,0.0000000000e+00
2.2335218754e+01,-1.4837149210e+01,0.0000000000e+00
2.2532875557e+01,-1.4837149210e+01,0.0000000000e+00
2.2730532360e+01,-1.4837149210e+01,0.0000000000e+00
2.2928189163e+01,-1.4837149210e+01,0.0000000000e+00
2.3125845966e+01,-1.4837149210e+01,0.0000000000e+00
2.3323502769e+01,-1.4837149210e+01,0.0000000000e+00
2.3521159573e+01,-1.4837149210e+01,0.0000000000e+00
2.3718816376e+01,-1.4837149210e+01,0.0000000000e+00
2.3916473179e+01,-1.4837149210e+01,0.0000000000e+00
2.4114129982e+01,-1.4837149210e+01,0.0000000000e+00
2.4311786785e+01,-1.4837149210e+01,0.0000000000e+00
2.4509443588e+01,-1.4837149210e+01,0.0000000000e+00
2.4707100391e+01,-1.4837149210e+01,0.0000000000e+00
2.4904757195e+01,-1.4837149210e+01,0.0000000000e+00
2.5102413998e+01,-1.4837149210e+01,0.0000000000e+00
2.5300070801e+01,-1.4837149210e+01,0.0000000000e+00
2.5497727604e+01,-1.4837149210e+01,0.0000000000e+00
2.5695384407e+01,-1.4837149210e+01,0.0000000000e+00
2.5893041210e+01,-1.4837149210e+01,0.0000000000e+00
2.6090698013e+01,-1.4837149210e+01,0.0000000000e+00
2.6288354816e+01,-1.4837149210e+01,0.0000000000e+00
2.6486011620e+01,-1.4837149210e+01,0.0000000000e+00
2.6683668423e+01,-1.4837149210e+01,0.0000000000e+00
2.6881325226e+01,-1.4837149210e+01,0.0000000000e+00
2.7078982029e+01,-1.4837149210e+01,0.0000000000e+00
2.7276638832e+01,-1.4837149210e+01,0.0000000000e+00
2.7474295635e+01,-1.4837149210e+01,0.0000000000e+00
2.7671952438e+01,-1.4837149210e+01,0.0000000000e+00
2.7869609241e+01,-1.4837149210e+01,0.0000000000e+00
2.8067266045e+01,-1.4837149210e+01,0.0000000000e+00
